Location,Date,AQI
Khammam,Feb-21,84
Khammam,Mar-21,68
Khammam,Apr-21,54
Khammam,May-21,71
Khammam,Jun-21,88
Khammam,Jul-21,69
Khammam,Aug-21,67
Khammam,Sep-21,85
Khammam,Oct-21,61
Khammam,Nov-21,86
Khammam,Dec-21,78
Khammam,Jan-22,80
Khammam,Feb-22,78
Khammam,Mar-22,77
Khammam,Apr-22,79
Khammam,May-22,77
Khammam,Jun-22,81
Khammam,Jul-22,73
Khammam,Aug-22,58
Khammam,Sep-22,42
Khammam,Oct-22,57
Khammam,Nov-22,78
Khammam,Dec-22,115
Nizamabad,Jan-16,62
Nizamabad,Feb-16,64
Nizamabad,Mar-16,66
Nizamabad,Apr-16,68
Nizamabad,May-16,69
Nizamabad,Jun-16,38
Nizamabad,Jul-16,57
Nizamabad,Aug-16,58
Nizamabad,Sep-16,56
Nizamabad,Oct-16,64
Nizamabad,Nov-16,60
Nizamabad,Dec-16,62
Nizamabad,Jan-17,61
Nizamabad,Feb-17,62
Nizamabad,Mar-17,63
Nizamabad,Apr-17,67
Nizamabad,May-17,68
Nizamabad,Jun-17,63
Nizamabad,Jul-17,57
Nizamabad,Aug-17,60
Nizamabad,Sep-17,59
Nizamabad,Oct-17,61
Nizamabad,Nov-17,61
Nizamabad,Dec-17,59
Nizamabad,Jan-18,61
Nizamabad,Feb-18,61
Nizamabad,Mar-18,66
Nizamabad,Apr-18,70
Nizamabad,May-18,54
Nizamabad,Jun-18,64
Nizamabad,Jul-18,59
Nizamabad,Aug-18,60
Nizamabad,Sep-18,64
Nizamabad,Oct-18,48
Nizamabad,Nov-18,60
Nizamabad,Dec-18,62
Nizamabad,Jan-19,64
Nizamabad,Feb-19,61
Nizamabad,Mar-19,61
Nizamabad,Apr-19,62
Nizamabad,May-19,64
Nizamabad,Jun-19,69
Nizamabad,Jul-19,72
Nizamabad,Aug-19,71
Nizamabad,Sep-19,61
Nizamabad,Oct-19,69
Nizamabad,Nov-19,62
Nizamabad,Dec-19,66
Nizamabad,Jan-20,64
Nizamabad,Feb-20,64
Nizamabad,Mar-20,66
Nizamabad,Apr-20,38
Nizamabad,May-20,50
Nizamabad,Jun-20,52
Nizamabad,Jul-20,63
Nizamabad,Aug-20,60
Nizamabad,Sep-20,62
Nizamabad,Oct-20,62
Nizamabad,Nov-20,63
Nizamabad,Dec-20,81
Nizamabad,Jan-21,69
Nizamabad,Feb-21,68
Nizamabad,Mar-21,66
Nizamabad,Apr-21,69
Nizamabad,May-21,41
Nizamabad,Jun-21,48
Nizamabad,Jul-21,54
Nizamabad,Aug-21,45
Nizamabad,Sep-21,43
Nizamabad,Oct-21,59
Nizamabad,Nov-21,66
Nizamabad,Dec-21,57
Nizamabad,Jan-22,56
Nizamabad,Feb-22,59
Nizamabad,Mar-22,64
Nizamabad,Apr-22,58
Nizamabad,May-22,56
Nizamabad,Jun-22,54
Nizamabad,Jul-22,46
Nizamabad,Aug-22,53
Nizamabad,Sep-22,54
Nizamabad,Oct-22,63
Nizamabad,Nov-22,56
Nizamabad,Dec-22,59
Warangal,Jan-16,76
Warangal,Feb-16,72
Warangal,Mar-16,63
Warangal,Apr-16,73
Warangal,May-16,84
Warangal,Jun-16,68
Warangal,Jul-16,63
Warangal,Aug-16,38
Warangal,Sep-16,52
Warangal,Oct-16,61
Warangal,Nov-16,83
Warangal,Dec-16,84
Warangal,Jan-17,76
Warangal,Feb-17,78
Warangal,Mar-17,71
Warangal,Apr-17,72
Warangal,May-17,68
Warangal,Jun-17,61
Warangal,Jul-17,48
Warangal,Aug-17,60
Warangal,Sep-17,62
Warangal,Oct-17,62
Warangal,Nov-17,76
Warangal,Dec-17,78
Warangal,Jan-18,94
Warangal,Feb-18,96
Warangal,Mar-18,79
Warangal,Apr-18,83
Warangal,May-18,81
Warangal,Jun-18,84
Warangal,Jul-18,70
Warangal,Aug-18,73
Warangal,Sep-18,80
Warangal,Oct-18,89
Warangal,Nov-18,94
Warangal,Dec-18,88
Warangal,Jan-19,91
Warangal,Feb-19,91
Warangal,Mar-19,92
Warangal,Apr-19,89
Warangal,May-19,93
Warangal,Jun-19,86
Warangal,Jul-19,87
Warangal,Aug-19,80
Warangal,Sep-19,73
Warangal,Oct-19,85
Warangal,Nov-19,91
Warangal,Dec-19,87
Warangal,Jan-20,89
Warangal,Feb-20,88
Warangal,Mar-20,74
Warangal,Apr-20,41
Warangal,May-20,65
Warangal,Jun-20,58
Warangal,Jul-20,67
Warangal,Aug-20,61
Warangal,Sep-20,55
Warangal,Oct-20,61
Warangal,Nov-20,92
Warangal,Dec-20,91
Warangal,Jan-21,81
Warangal,Feb-21,88
Warangal,Mar-21,75
Warangal,Apr-21,71
Warangal,May-21,51
Warangal,Jun-21,81
Warangal,Jul-21,57
Warangal,Aug-21,60
Warangal,Sep-21,55
Warangal,Oct-21,64
Warangal,Nov-21,65
Warangal,Dec-21,69
Warangal,Jan-22,73
Warangal,Feb-22,73
Warangal,Mar-22,76
Warangal,Apr-22,60
Warangal,May-22,77
Warangal,Jun-22,85
Warangal,Jul-22,47
Warangal,Aug-22,56
Warangal,Sep-22,48
Warangal,Oct-22,64
Warangal,Nov-22,94
Warangal,Dec-22,94
