,date,Temp
0,2023-01-01,31.836135864257812
1,2023-01-02,31.73828887939453
2,2023-01-03,31.754819869995117
3,2023-01-04,31.907939910888672
4,2023-01-05,31.918052673339844
5,2023-01-06,31.749618530273438
6,2023-01-07,31.7276668548584
7,2023-01-08,31.832122802734375
8,2023-01-09,31.775386810302734
9,2023-01-10,31.834796905517578
10,2023-01-11,32.0323486328125
11,2023-01-12,32.08823013305664
12,2023-01-13,31.966665267944336
13,2023-01-14,31.992446899414062
14,2023-01-15,32.14524841308594
15,2023-01-16,32.13722610473633
16,2023-01-17,32.2454719543457
17,2023-01-18,32.49173355102539
18,2023-01-19,32.595947265625
19,2023-01-20,32.5221061706543
20,2023-01-21,32.59476852416992
21,2023-01-22,32.79338455200195
22,2023-01-23,32.82990264892578
23,2023-01-24,32.98122024536133
24,2023-01-25,33.26889419555664
25,2023-01-26,33.41270065307617
26,2023-01-27,33.3764762878418
27,2023-01-28,33.48465347290039
28,2023-01-29,33.71656799316406
29,2023-01-30,33.78407287597656
30,2023-01-31,33.9639892578125
31,2023-02-01,34.27782440185547
32,2023-02-02,34.44532012939453
33,2023-02-03,34.4302978515625
34,2023-02-04,34.557193756103516
35,2023-02-05,34.80537414550781
36,2023-02-06,34.88672637939453
37,2023-02-07,35.0781364440918
38,2023-02-08,35.401187896728516
39,2023-02-09,35.57571029663086
40,2023-02-10,35.56562805175781
41,2023-02-11,35.69549560546875
42,2023-02-12,35.944801330566406
43,2023-02-13,36.025577545166016
44,2023-02-14,36.21484375
45,2023-02-15,36.53432846069336
46,2023-02-16,36.704017639160156
47,2023-02-17,36.68798828125
48,2023-02-18,36.810943603515625
49,2023-02-19,37.05253219604492
50,2023-02-20,37.12492370605469
51,2023-02-21,37.30528259277344
52,2023-02-22,37.61548614501953
53,2023-02-23,37.775638580322266
54,2023-02-24,37.74993896484375
55,2023-02-25,37.86321258544922
56,2023-02-26,38.095191955566406
57,2023-02-27,38.158145904541016
58,2023-02-28,38.329315185546875
59,2023-03-01,38.630638122558594
60,2023-03-02,38.78227233886719
61,2023-03-03,38.74845886230469
62,2023-03-04,38.854034423828125
63,2023-03-05,39.078758239746094
64,2023-03-06,39.13489532470703
65,2023-03-07,39.2996711730957
66,2023-03-08,39.595001220703125
67,2023-03-09,39.74101257324219
68,2023-03-10,39.70189666748047
69,2023-03-11,39.80244445800781
70,2023-03-12,40.02234649658203
71,2023-03-13,40.07380676269531
72,2023-03-14,40.233985900878906
73,2023-03-15,40.52471160888672
74,2023-03-16,40.66603088378906
75,2023-03-17,40.6220703125
76,2023-03-18,40.71753692626953
77,2023-03-19,40.932037353515625
78,2023-03-20,40.977699279785156
79,2023-03-21,41.131614685058594
80,2023-03-22,41.41554641723633
81,2023-03-23,41.54948425292969
82,2023-03-24,41.497493743896484
83,2023-03-25,41.584228515625
84,2023-03-26,41.789276123046875
85,2023-03-27,41.82472229003906
86,2023-03-28,41.96764373779297
87,2023-03-29,42.23978805541992
88,2023-03-30,42.36115264892578
89,2023-03-31,42.295799255371094
90,2023-04-01,42.3684196472168
91,2023-04-02,42.55860900878906
92,2023-04-03,42.57851028442383
93,2023-04-04,42.70522689819336
94,2023-04-05,42.9605712890625
95,2023-04-06,43.06459045410156
96,2023-04-07,42.981422424316406
97,2023-04-08,43.03582000732422
98,2023-04-09,43.20745086669922
99,2023-04-10,43.20854187011719
100,2023-04-11,43.31626510620117
101,2023-04-12,43.55250930786133
102,2023-04-13,43.63740539550781
103,2023-04-14,43.535152435302734
104,2023-04-15,43.5705680847168
105,2023-04-16,43.72339630126953
106,2023-04-17,43.705909729003906
107,2023-04-18,43.795326232910156
108,2023-04-19,44.013572692871094
109,2023-04-20,44.080810546875
110,2023-04-21,43.961265563964844
111,2023-04-22,43.97975158691406
112,2023-04-23,44.116004943847656
113,2023-04-24,44.082275390625
114,2023-04-25,44.15576934814453
115,2023-04-26,44.358360290527344
116,2023-04-27,44.41014099121094
117,2023-04-28,44.27527618408203
118,2023-04-29,44.278507232666016
119,2023-04-30,44.399471282958984
120,2023-05-01,44.350311279296875
121,2023-05-02,44.408111572265625
122,2023-05-03,44.59463882446289
123,2023-05-04,44.629852294921875
124,2023-05-05,44.477779388427734
125,2023-05-06,44.463008880615234
126,2023-05-07,44.56504440307617
127,2023-05-08,44.495887756347656
128,2023-05-09,44.532470703125
129,2023-05-10,44.69641876220703
130,2023-05-11,44.707550048828125
131,2023-05-12,44.529762268066406
132,2023-05-13,44.48751449584961
133,2023-05-14,44.560203552246094
134,2023-05-15,44.459720611572266
135,2023-05-16,44.462921142578125
136,2023-05-17,44.59133529663086
137,2023-05-18,44.564735412597656
138,2023-05-19,44.34697723388672
139,2023-05-20,44.26250457763672
140,2023-05-21,44.29071044921875
141,2023-05-22,44.14350128173828
142,2023-05-23,44.0977783203125
143,2023-05-24,44.17515182495117
144,2023-05-25,44.09547424316406
145,2023-05-26,43.822715759277344
146,2023-05-27,43.68145751953125
147,2023-05-28,43.651248931884766
148,2023-05-29,43.444190979003906
149,2023-05-30,43.337379455566406
150,2023-05-31,43.35264587402344
151,2023-06-01,43.21009826660156
152,2023-06-02,42.87395477294922
153,2023-06-03,42.66908264160156
154,2023-06-04,42.57532501220703
155,2023-06-05,42.30508804321289
156,2023-06-06,42.135772705078125
157,2023-06-07,42.08954620361328
158,2023-06-08,41.88683319091797
159,2023-06-09,41.4921875
160,2023-06-10,41.230812072753906
161,2023-06-11,41.08287048339844
162,2023-06-12,40.76108169555664
163,2023-06-13,40.543182373046875
