,date,max-Temp
0,2022-12-10,31.421138763427734
1,2022-12-11,31.44416618347168
2,2022-12-12,31.19607925415039
3,2022-12-13,31.33826446533203
4,2022-12-14,31.209672927856445
5,2022-12-15,31.12017059326172
6,2022-12-16,31.037912368774414
7,2022-12-17,31.105937957763672
8,2022-12-18,31.140159606933594
9,2022-12-19,30.90414047241211
10,2022-12-20,31.05924415588379
11,2022-12-21,30.94439125061035
12,2022-12-22,30.86941909790039
13,2022-12-23,30.802452087402344
14,2022-12-24,30.886489868164062
15,2022-12-25,30.93741226196289
16,2022-12-26,30.718751907348633
17,2022-12-27,30.891830444335938
18,2022-12-28,30.795528411865234
19,2022-12-29,30.73965072631836
20,2022-12-30,30.692276000976562
21,2022-12-31,30.796371459960938
22,2023-01-01,30.867774963378906
23,2023-01-02,30.669973373413086
24,2023-01-03,30.864253997802734
25,2023-01-04,30.789459228515625
26,2023-01-05,30.755346298217773
27,2023-01-06,30.72995948791504
28,2023-01-07,30.856220245361328
29,2023-01-08,30.949934005737305
30,2023-01-09,30.77454376220703
31,2023-01-10,30.991291046142578
32,2023-01-11,30.938987731933594
33,2023-01-12,30.927349090576172
34,2023-01-13,30.924373626708984
35,2023-01-14,31.072952270507812
36,2023-01-15,31.1888427734375
37,2023-01-16,31.035457611083984
38,2023-01-17,31.273990631103516
39,2023-01-18,31.24321746826172
40,2023-01-19,31.25281524658203
41,2023-01-20,31.270742416381836
42,2023-01-21,31.439849853515625
43,2023-01-22,31.575857162475586
44,2023-01-23,31.4421329498291
45,2023-01-24,31.699844360351562
46,2023-01-25,31.687715530395508
47,2023-01-26,31.715389251708984
48,2023-01-27,31.75078773498535
49,2023-01-28,31.936721801757812
50,2023-01-29,32.088871002197266
51,2023-01-30,31.970569610595703
52,2023-01-31,32.242950439453125
53,2023-02-01,32.24469757080078
54,2023-02-02,32.285423278808594
55,2023-02-03,32.333011627197266
56,2023-02-04,32.53024673461914
57,2023-02-05,32.69277572631836
58,2023-02-06,32.58390808105469
59,2023-02-07,32.86473846435547
60,2023-02-08,32.873939514160156
61,2023-02-09,32.92109298706055
62,2023-02-10,32.97406768798828
63,2023-02-11,33.17563247680664
64,2023-02-12,33.34142303466797
65,2023-02-13,33.23472595214844
66,2023-02-14,33.51664733886719
67,2023-02-15,33.525848388671875
68,2023-02-16,33.5719108581543
69,2023-02-17,33.62271499633789
70,2023-02-18,33.8210334777832
71,2023-02-19,33.98251724243164
72,2023-02-20,33.870479583740234
73,2023-02-21,34.14604187011719
74,2023-02-22,34.14789581298828
75,2023-02-23,34.18566131591797
76,2023-02-24,34.227256774902344
77,2023-02-25,34.415489196777344
78,2023-02-26,34.566062927246094
79,2023-02-27,34.442344665527344
80,2023-02-28,34.70551300048828
81,2023-03-01,34.69431686401367
82,2023-03-02,34.71844482421875
83,2023-03-03,34.745880126953125
84,2023-03-04,34.91950988769531
85,2023-03-05,35.055110931396484
86,2023-03-06,34.9161262512207
87,2023-03-07,35.163818359375
88,2023-03-08,35.13702392578125
89,2023-03-09,35.1455078125
90,2023-03-10,35.1573486328125
91,2023-03-11,35.31551742553711
92,2023-03-12,35.435874938964844
93,2023-03-13,35.28195571899414
94,2023-03-14,35.51510238647461
95,2023-03-15,35.474239349365234
96,2023-03-16,35.469215393066406
97,2023-03-17,35.46818542480469
98,2023-03-18,35.61419677734375
99,2023-03-19,35.72317886352539
100,2023-03-20,35.558746337890625
101,2023-03-21,35.782291412353516
102,2023-03-22,35.7327995300293
103,2023-03-23,35.720176696777344
104,2023-03-24,35.712608337402344
105,2023-03-25,35.853187561035156
106,2023-03-26,35.95787811279297
107,2023-03-27,35.790306091308594
108,2023-03-28,36.01189041137695
109,2023-03-29,35.96160888671875
110,2023-03-30,35.949371337890625
111,2023-03-31,35.943355560302734
112,2023-04-01,36.08662414550781
113,2023-04-02,36.19512176513672
114,2023-04-03,36.03242111206055
115,2023-04-04,36.25990295410156
116,2023-04-05,36.21649169921875
117,2023-04-06,36.21202087402344
118,2023-04-07,36.21460723876953
119,2023-04-08,36.367225646972656
120,2023-04-09,36.4857292175293
121,2023-04-10,36.3336067199707
122,2023-04-11,36.572120666503906
123,2023-04-12,36.540096282958984
124,2023-04-13,36.54724884033203
125,2023-04-14,36.56157302856445
126,2023-04-15,36.725921630859375
127,2023-04-16,36.85602569580078
128,2023-04-17,36.715240478515625
129,2023-04-18,36.964698791503906
130,2023-04-19,36.943084716796875
131,2023-04-20,36.959999084472656
132,2023-04-21,36.98328399658203
133,2023-04-22,37.155677795410156
134,2023-04-23,37.29277420043945
135,2023-04-24,37.157806396484375
136,2023-04-25,37.411781311035156
137,2023-04-26,37.393287658691406
138,2023-04-27,37.41178894042969
139,2023-04-28,37.4350471496582
140,2023-04-29,37.60569763183594
141,2023-04-30,37.73924255371094
142,2023-05-01,37.598838806152344
143,2023-05-02,37.845428466796875
144,2023-05-03,37.817535400390625
145,2023-05-04,37.8245849609375
146,2023-05-05,37.83428955078125
147,2023-05-06,37.9892692565918
148,2023-05-07,38.105003356933594
149,2023-05-08,37.94465637207031
150,2023-05-09,38.1691780090332
151,2023-05-10,38.11710739135742
152,2023-05-11,38.097904205322266
153,2023-05-12,38.07933807373047
154,2023-05-13,38.204078674316406
155,2023-05-14,38.287681579589844
156,2023-05-15,38.09339141845703
157,2023-05-16,38.282249450683594
158,2023-05-17,38.19289779663086
159,2023-05-18,38.13491439819336
160,2023-05-19,38.076194763183594
161,2023-05-20,38.15953063964844
162,2023-05-21,38.20063018798828
163,2023-05-22,37.96287536621094
